id,BIC,LLS,model,best-param
20,596.0898829998288,-294.9376374507033,WSLS,[0.5531062240808645]
20,233.03461890300582,-110.30270135308072,RW,"[0.11757333071459773, 9.727469320199603]"
20,248.90255891768584,-112.02206326199854,RWCK,"[0.14898822420628707, 6.579313864882227, 0.08366450877081912, 1.0]"
21,693.1471805599449,-346.57359027997245,Random,[]
21,619.430349378416,-306.6078706399969,WSLS,[0.6052104265744278]
21,312.1604272796861,-149.86560554142085,RW,"[0.0689450715915053, 9.075366148076252]"
21,323.71156594809804,-149.42656677720464,RWCK,"[0.1000856224982307, 5.84548786520658, 0.08986892646901107, 1.0]"
22,693.1471805599449,-346.57359027997245,Random,[]
22,630.6579060756775,-312.22164898862763,WSLS,[0.633266524120386]
22,317.32852783578,-152.4496558194678,RW,"[0.11785246676454203, 8.990498244533397]"
22,327.9284914787691,-151.53502954254017,RWCK,"[0.14253456554123606, 7.445356316748649, 0.00012976278809146685, 20.0]"
23,693.1471805599449,-346.57359027997245,Random,[]
23,586.2213178627707,-290.0033548821742,WSLS,[0.5330661328592418]
23,164.38948186020366,-75.98013283167964,RW,"[0.07707492900516726, 9.500548810323881]"
23,176.27921690915946,-75.71039225773535,RWCK,"[0.08260136160248222, 8.430534830707744, 8.85087660369219e-05, 20.0]"
24,693.1471805599449,-346.57359027997245,Random,[]
24,599.8964327543678,-296.8409123279728,WSLS,[0.5611222406741813]
24,125.70705479090631,-56.63891929703097,RW,"[0.16861502958520466, 11.326363549903865]"
24,138.96869504618618,-57.055131326248706,RWCK,"[0.19682390270290964, 8.424235817004163, 0.21329949102944848, 1.0]"
25,693.1471805599449,-346.57359027997245,Random,[]
25,584.1864819847008,-288.9859369431393,WSLS,[0.5290581171167171]
25,257.9931292356155,-122.78195651938556,RW,"[0.05745306595169947, 10.923735748242978]"
25,270.3301846778465,-122.73587614207887,RWCK,"[0.05958951103144574, 10.487854043963171, 4.3365675025008874e-05, 18.262821844752754]"
26,693.1471805599449,-346.57359027997245,Random,[]
26,599.896432754368,-296.8409123279729,WSLS,[0.5611222461567176]
26,281.69399308200093,-134.63238844257828,RW,"[0.14252504305568675, 12.931752673276767]"
26,294.5555324740409,-134.84855004017606,RWCK,"[0.15934695938423263, 9.252440436450664, 0.30704798618408197, 1.0]"
27,693.1471805599449,-346.57359027997245,Random,[]
27,610.8422042858156,-302.3137980936967,WSLS,[0.5851703345087477]
27,364.26121460642906,-175.91599920479234,RW,"[0.02157448841392599, 8.117438120010057]"
27,372.92175459561975,-174.0316611009655,RWCK,"[0.06247568717030583, 4.377785693554466, 0.00026860616952235775, 20.0]"
28,693.1471805599449,-346.57359027997245,Random,[]
28,646.4748684316114,-320.1301301665946,WSLS,[0.6773547108279587]
28,395.77246942529547,-191.67162661422554,RW,"[0.09183960886266027, 10.662294977710774]"
28,409.8157747376807,-192.47867117199598,RWCK,"[0.13262311520373285, 6.8695579263364985, 0.07631412363732132, 1.0]"
29,693.1471805599449,-346.57359027997245,Random,[]
29,592.2031994230695,-292.9942956623236,WSLS,[0.5450901798038846]
29,299.0375828204588,-143.3041833118072,RW,"[0.18891798172954422, 9.648259367487105]"
29,321.25200803941163,-148.19678782286144,RWCK,"[0.25037797303287884, 6.712470372331787, 0.1292185526214363, 1.0]"
